pid	devicetype	brand	model	version	fccid	availability	whereavailable	supportedsincecommit	supportedsincerel	supportedcurrentrel	unsupported_functions	target	subtarget	packagearchitecture	bootloader	cpu	cpucores	cpumhz	flashmb	rammb	ethernet100mports	ethernetgbitports	switch	vlan	modem	commentsnetworkports	wlanhardware	wlan24ghz	wlan50ghz	wlancomments	wlandriver	detachableantennas	bluetooth	usbports	sataports	commentsusbsataports	videoports	audioports	phoneports	commentsavports	serial	serialconnectionparameters	jtag	ledcount	buttoncount	gpios	powersupply	devicepage	device_techdata	owrt_forum_topic_url	lede_forum_topic_url	forumsearch	gitsearch	wikideviurl	oemdevicehomepageurl	firmwareoemstockurl	firmwareopenwrtinstallurl	firmwareopenwrtupgradeurl	firmwareopenwrtsnapshotinstallurl	firmwareopenwrtsnapshotupgradeurl	installationmethods	commentinstallation	recoverymethods	commentrecovery	picture	comments
16146	Single Board Computer	8devices	Carambola 1	NULL	https://fcc.io/Z9W/-CM1	Discontinued 2016		https://git.lede-project.org/?p=source.git;a=commit;h=1617f226a906f82ce6516e3e5a1e0909d8aa8806	12.09	19.07.5	NULL	ramips	rt305x	mipsel_24kc	U-Boot	Ralink RT3050	1	320	8	32	2	-	Ralink RT3050	Yes	-		Ralink RT3050	b/g/n	-		unknown	-	-	Yes	-		-	-	-		Yes	¿	Yes	¿	¿	20	3.3 VDC, 0.5 A	toh:8devices:carambola	View/Edit data	NULL	NULL	Carambola	Carambola	https://wikidevi.wi-cat.ru/8devices_Carambola	http://shop.8devices.com/carambola		NULL	http://downloads.openwrt.org/releases/19.07.5/targets/ramips/rt305x/openwrt-19.07.5-ramips-rt305x-carambola-squashfs-sysupgrade.bin	NULL	http://downloads.openwrt.org/snapshots/targets/ramips/rt305x/openwrt-ramips-rt305x-8devices_carambola-squashfs-sysupgrade.bin	unknown		unknown		media:example:genericrouter1.png	
16147	Single Board Computer	8devices	Carambola 2	NULL	https://fcc.io/Z9W/-CM2	Available 2019	shop.8devices.com	https://git.lede-project.org/?p=source.git;a=commit;h=39531131a9186a7810b9f67e2694ccd6b65d14bd	14.07	19.07.5	NULL	ar71xx-ath79	generic	mips_24kc	U-Boot	Atheros AR9331	1	400	16	64	2	-	Atheros AR9331	Yes	-		Atheros AR9331	b/g/n	-		ath9k	-	-	1x 2.0 Device	-		-	-	-		Yes	115200 / 8N1	¿	3	2	more than 20	3.3 VDC, 0.2 A	toh:8devices:carambola2	View/Edit data	NULL	NULL	Carambola2	Carambola2	https://wikidevi.wi-cat.ru/8devices_Carambola_2	http://shop.8devices.com/carambola2		NULL	http://downloads.openwrt.org/releases/19.07.5/targets/ath79/generic/openwrt-19.07.5-ath79-generic-8dev_carambola2-squashfs-sysupgrade.bin	NULL	http://downloads.openwrt.org/snapshots/targets/ath79/generic/openwrt-ath79-generic-8dev_carambola2-squashfs-sysupgrade.bin	U-Boot TFTP recovery		U-Boot TFTP recovery		media:example:genericrouter1.png	
16149	Single Board Computer	Abicom International	Freedom CPE	Rev 05	NULL	Discontinued			10.03	10.03	NULL	ath25			RedBoot	Atheros AR5312	1	220	8	32	1	-	¿	No	-		Atheros AR5312	b/g	a		unknown	2	¿	-	-		NULL	NULL	NULL		Yes	¿	Yes	¿	¿	¿	6 VDC, 1.2 A	toh:abicom:freedom_cpe	View/Edit data	NULL	NULL	Freedom CPE	Freedom CPE	https://wikidevi.wi-cat.ru/Abicom_Freedom_CPE_rev_05			NULL	NULL	NULL	NULL	see devicepage		NULL		media:example:genericrouter1.png	
16151	Single Board Computer	Accton	MR3201A	NULL	NULL	Discontinued			8.09	8.09	NULL	ath25			RedBoot	Atheros AR2315	1	183	8	32	1	-	¿	No	-		Atheros AR2315	b/g	-		ath5k	-	-	-	-		-	-	-		Yes	¿	No	¿	¿	-	12 VDC, 1.0 A	toh:fon:fonera	View/Edit data	NULL	NULL	MR3201A	MR3201A	https://wikidevi.wi-cat.ru/Accton_MR3201A			NULL	NULL	NULL	NULL	see devicepage		RedBoot TFTP + serial recovery		media:example:genericrouter1.png	
16152	WiFi Router	Accton	WR6202	NULL	NULL	Discontinued		https://git.lede-project.org/?p=source.git;a=commit;h=9cde29f1a71f5228ad35fbf3870262b94a215709	12.09	19.07.5	NULL	ramips	rt305x	mipsel_24kc	U-Boot	Ralink RT3050	1	320	8	32	2	-	¿	¿	-		Ralink RT3050	b/g/n	-		unknown	1	-	1x 2.0	-		-	-	-		Yes	¿	No	¿	¿	-	¿		View/Edit data	NULL	NULL	WR6202	WR6202	NULL			NULL	http://downloads.openwrt.org/releases/19.07.5/targets/ramips/rt305x/openwrt-19.07.5-ramips-rt305x-wr6202-squashfs-sysupgrade.bin	NULL	http://downloads.openwrt.org/snapshots/targets/ramips/rt305x/openwrt-ramips-rt305x-accton_wr6202-squashfs-sysupgrade.bin	unknown		unknown		media:example:genericrouter1.png	According to https://dev.openwrt.org/changeset/30434, the SMCWBR11S-3GN is identical to the Accton WR6202.
16153	Single Board Computer	AcmeSystems	Netus G20	NULL	NULL	Discontinued 2016		https://git.lede-project.org/?p=source.git;a=commit;h=4bb7ab3057cc4d19924034f92a0a22decba04796			NULL	at91			U-Boot	ARM9	1	400	8	64	1	-	¿	¿	-		-	-	-		unknown	-	¿	1x 2.0 Device	-		NULL	NULL	NULL		Yes	¿	Yes			¿	¿	toh:at91:netusg20	View/Edit data	NULL	NULL	Netus G20	Netus G20	NULL	http://www.acmesystems.it/NETUSG20		NULL	NULL	NULL	NULL	NULL		NULL		media:example:genericrouter1.png	
16154	Modem	Actiontec	C1000A	1	https://fcc.io/LNQ/C1000A	Discontinued 2020	¿				DSL	brcm63xx			CFE	Broadcom BCM63168	2	400	64	64	-	4	Broadcom BCM53125	Yes	VDSL2		Broadcom BCM63168	b/g/n	-		b43	-	-	1x 2.0	-		-	-	-		Yes	115200 / 8N1	¿	¿	¿	-	12 VDC, 1.5 A	toh:actiontec:c1000a	View/Edit data	https://forum.openwrt.org/viewtopic.php?id=51792	NULL	C1000A	C1000A	https://wikidevi.wi-cat.ru/Actiontec_C1000A_%28CenturyLink%29			NULL	NULL	NULL	NULL	NULL		NULL		media:example:genericrouter1.png	
16155	Router	Actiontec	GT701	D	NULL	Discontinued			10.03	10.03.1	NULL	ar7		mipsel_mips32	PSPBoot	Texas Instruments TNETD7200	1	150	4	16	1	-	¿	No	ADSL2+		-	-	-		unknown	-	¿	-	-		¿	¿	¿		Yes	¿	Yes	¿	¿	¿	¿	toh:actiontec:gt701d	View/Edit data	NULL	NULL	GT701	GT701	NULL			NULL	NULL	NULL	NULL	unknown		unknown		media:example:genericrouter1.png	
16156	WiFi Router	Actiontec	GT704WG	1A	https://fcc.io/LNQ/GT704	Discontinued			8.09	10.03.1	Will boot but there is insufficient memory to function.	ar7		mipsel_mips32	Adam2	Texas Instruments TNETD7300	1	150	4	16	4	-	Marvell 88E6060	No	ADSL2+		TI ACX111 (integrated)	b/g	-		unknown	1	-	-	-		-	-	-		Yes	38400 / 8N1	Yes	¿	¿	-	12 VDC, 0.6 A	toh:actiontec:gt704wg	View/Edit data	NULL	NULL	GT704WG	GT704WG	https://wikidevi.wi-cat.ru/Actiontec_GT704WG	http://www.actiontec.com/40.html	http://www.actiontec.com/support/soft_files/GT704WG_Upgrade_NCS_3.0.1.0.6.0.img	http://downloads.openwrt.org/backfire/10.03.1/ar7/openwrt-ar7-squashfs.bin	http://downloads.openwrt.org/backfire/10.03.1/ar7/openwrt-ar7-squashfs.bin	NULL	NULL	see devicepage		ADAM2 FTP		media:example:genericrouter1.png	
16157	Modem	Actiontec	GT784WNV	5A	https://fcc.io/LNQ/GT784WN	Discontinued		https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=3fc76fb7814dded3730571768f1b6d75fb981f0d	14.07		USB	brcm63xx	generic	mips_mips32	CFE	Broadcom BCM6328	1	320	16	64	4	-	Broadcom BCM63281	Yes	ADSL2+		Broadcom BCM43225	b/g/n	-	2x2	brcmsmac	-	-	1x 2.0	-		-	-	-		Yes	115200 / 8N1	Yes	¿	¿	-	12 VDC, 1.0 A	toh:actiontec:gt784wnv	View/Edit data	https://forum.openwrt.org/viewtopic.php?id=48556	NULL	GT784WNV	GT784WNV	https://wikidevi.wi-cat.ru/Actiontec_GT784WNV	https://www.actiontec.com/products/wifi-routers-gateways/dsl/gt784wnv/	http://www.actiontecsupport.com/broadband/20/GT784WNV/	http://downloads.openwrt.org/releases/19.07.5/targets/brcm63xx/generic/openwrt-19.07.5-brcm63xx-generic-96328avng-generic-squashfs-cfe-16M.bin	http://downloads.openwrt.org/releases/19.07.5/targets/brcm63xx/generic/openwrt-19.07.5-brcm63xx-generic-96328avng-generic-squashfs-cfe-16M.bin	http://downloads.openwrt.org/snapshots/targets/bcm63xx/generic/openwrt-bcm63xx-generic-brcm_bcm96328avng-squashfs-cfe-16M.bin	http://downloads.openwrt.org/snapshots/targets/bcm63xx/generic/openwrt-bcm63xx-generic-brcm_bcm96328avng-squashfs-cfe-16M.bin	CFE web recovery		CFE web recovery		media:example:genericrouter1.png	wpad must be installed for wireless to work properly
16158	WiFi Router	Actiontec	MI424WR	A	https://fcc.io/LNQ/802MRG	Discontinued		https://git.lede-project.org/?p=source.git;a=commit;h=47a35c8ffa76923855512de473fce839280aebca	10.03	18.06.1	NULL	ixp4xx	generic	armeb_xscale	RedBoot	Intel IXP425	1	533	8	32	5	-	Kendin KS8995MA	No	FiOS	MOCA 1.0	Ralink RT2560 (mini-PCI)	b/g/n	-		rt2500pci	1	-	-	-		-	-	-		Yes	115200 / 8N1	Yes	¿	¿	-	5 VDC, 3.0 A	toh:actiontec:mi424wr	View/Edit data	https://forum.openwrt.org/viewtopic.php?id=30545	NULL	MI424WR	MI424WR	https://wikidevi.wi-cat.ru/Actiontec_MI424WR_rev_A	http://www.actiontec.com/41.html		http://downloads.openwrt.org/releases/18.06.1/targets/ixp4xx/generic/openwrt-18.06.1-ixp4xx-generic-zImage	NULL	NULL	NULL	see devicepage	Stock bootloader unsupported, RedBoot must be installed	NULL		media:example:genericrouter1.png	
16159	WiFi Router	Actiontec	MI424WR	C	https://fcc.io/LNQ/802MAG	Discontinued			15.05	18.06.1	NULL	ixp4xx	generic	armeb_xscale	RGLoader	Intel IXP425	1	533	8	32	5	-	Kendin KS8995MA	No	FiOS	MOCA 1.0	Atheros AR2413 (mini-PCI)	b/g	-		unknown	1	-	-	-		-	-	-		Yes	115200 / 8N1	Yes	¿	¿	-	5 VDC, 3.0 A	toh:actiontec:mi424wr	View/Edit data	https://forum.openwrt.org/viewtopic.php?id=30545	NULL	MI424WR	MI424WR	https://wikidevi.wi-cat.ru/Actiontec_MI424WR_rev_C	http://www.actiontec.com/41.html		http://downloads.openwrt.org/releases/18.06.1/targets/ixp4xx/generic/openwrt-18.06.1-ixp4xx-generic-zImage	NULL	NULL	NULL	see devicepage	Stock bootloader unsupported, RedBoot must be installed	NULL		media:example:genericrouter1.png	
16160	WiFi Router	Actiontec	MI424WR	D	https://fcc.io/LNQ/802MAG	Discontinued		https://git.lede-project.org/?p=source.git;a=commit;h=b891eec7001663f8ec4ca4a141ad31ea78163350	12.09	18.06.9	NULL	ixp4xx	generic	armeb_xscale	RGLoader	Intel IXP420	1	533	8	32	5	-	Micrel KSZ8995MA	No	FiOS	MOCA 1.0	Atheros AR2413 (mini-PCI)	b/g	-		unknown	1	-	-	-		-	-	-		Yes	115200 / 8N1	Yes	¿	¿	-	5 VDC, 3.0 A	toh:actiontec:mi424wr	View/Edit data	https://forum.openwrt.org/viewtopic.php?id=30545	NULL	MI424WR	MI424WR	https://wikidevi.wi-cat.ru/Actiontec_MI424WR_rev_D	http://www.actiontec.com/41.html		http://downloads.openwrt.org/releases/18.06.9/targets/ixp4xx/generic/	http://downloads.openwrt.org/releases/18.06.9/targets/ixp4xx/generic/	http://downloads.openwrt.org/snapshots/targets/ixp4xx/generic/	http://downloads.openwrt.org/snapshots/targets/ixp4xx/generic/	see devicepage	Stock bootloader unsupported, RedBoot must be installed	NULL		media:example:genericrouter1.png	
16161	WiFi Router	Actiontec	MI424WR	I	https://fcc.io/LNQ/MI424WRI	Discontinued 2015			external image	external image	WIP	kirkwood		arm_xscale	U-Boot	Marvell 88F6560	1	1200	128NAND	128	-	5	Marvell 88F6560	¿	FiOS		Atheros AR9287	b/g/n	-	2x2	ath9k	2	-	2x 2.0	-		-	-	-		Yes	115200 / 8N1	Yes	¿	¿	-	12 VDC, 1.8 A	toh:actiontec:actiontec_mi424wr_rev._i	View/Edit data	https://forum.openwrt.org/viewtopic.php?id=47618	NULL	MI424WR	MI424WR	https://wikidevi.wi-cat.ru/Actiontec_MI424WR_rev_I	http://www.actiontec.com/41.html	https://actiontecsupport.zendesk.com/hc/en-us/articles/115000412186-Firmware-Upgrades	NULL	NULL	NULL	NULL	U-Boot TFTP + serial recovery		NULL		media:example:genericrouter1.png	
16163	WiFi Router	ADB	AV4202N	NULL	NULL	Discontinued					NULL	brcm63xx		mips_mips32	CFE	Broadcom BCM6368	2	400	16	64	4	-	¿	Yes	xDSL		Broadcom BCM4322	b/g/n	-		b43	-	-	2x 2.0	-		-	-	2		Yes	¿	¿			-	¿	toh:adb:p.dg_av4202n	View/Edit data	NULL	NULL	AV4202N	AV4202N	NULL			NULL	NULL	NULL	NULL	NULL		NULL		media:example:genericrouter1.png	
16164	WiFi Router	ADB	P.DG A4001N1	NULL	NULL	Discontinued	¿	https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=e93725a743670b6ea733862fa1f8d6b8e88b0992	15.05		DSL modem	brcm63xx	generic	mips_mips32	CFE	Broadcom BCM6328	1	320	16	32	4	-	¿	Yes	ADSL2+		Broadcom BCM43225	b/g/n	-		brcmsmac	-	-	1x 2.0	-		-	-	-		Yes	¿	No	12	2	-	¿	toh:adb:p.dg_a4001n1	View/Edit data	NULL	NULL	P.DG A4001N1	P.DG A4001N1	NULL	http://www.movistar.es/particulares/atencion-cliente/internet/adsl/equipamiento-adsl/routers/home-station-adb-pdg-a4001n/		http://downloads.openwrt.org/releases/19.07.5/targets/brcm63xx/generic/openwrt-19.07.5-brcm63xx-generic-A4001N1-squashfs-cfe.bin	http://downloads.openwrt.org/releases/19.07.5/targets/brcm63xx/generic/openwrt-19.07.5-brcm63xx-generic-A4001N1-squashfs-sysupgrade.bin	http://downloads.openwrt.org/snapshots/targets/bcm63xx/generic/openwrt-bcm63xx-generic-adb_a4001n1-squashfs-cfe.bin	http://downloads.openwrt.org/snapshots/targets/bcm63xx/generic/openwrt-bcm63xx-generic-adb_a4001n1-squashfs-sysupgrade.bin	see devicepage		CFE web recovery		media:example:genericrouter1.png	
16165	WiFi Router	ADB	P.DG AV4202N	NULL	NULL	Discontinued		https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=9d4f8ff4f65c5928852ebbe25d07a7533bcd540a	18.06.0		WiFi 2.4GHz partly	brcm63xx	smp	mips_mips32	CFE	Broadcom BCM6368	2	400	16	64	4	-	Broadcom BCM6368	Yes	xDSL		Broadcom BCM43222	b/g/n	-		b43	-	-	2x 2.0	-		-	-	2		Yes	115200 / 8N1	Yes	4	2	-	¿	toh:adb:p.dg_av4202n	View/Edit data	NULL	NULL	AV4202N	AV4202N	NULL			http://downloads.openwrt.org/releases/19.07.5/targets/brcm63xx/smp/openwrt-19.07.5-brcm63xx-smp-AV4202N-squashfs-cfe.bin	NULL	http://downloads.openwrt.org/snapshots/targets/bcm63xx/smp/openwrt-bcm63xx-smp-adb_av4202n-squashfs-cfe.bin	NULL	see devicepage		CFE web recovery		media:example:genericrouter1.png	
16166	WiFi Router	ADI Engineering	Pronghorn SBC250	NULL	NULL	Discontinued		https://git.lede-project.org/?p=source.git;a=commit;h=1f68c4745d77d681991a6059fd8ad42418e576de	8.09	18.06.9	NULL	ixp4xx	generic	armeb_xscale	RedBoot	Intel IXP425	1	533	16	64	2	-	¿	No	-		EnGenius NMP-8602 PLUS Atheros AR5414 mini-PCI	b/g	a	2nd PCI slot available	ath5k	1	-	-	-		-	-	-		Yes	115200 / 8N1	Yes	-	1	4	5 VDC, 2.5 A, PoE 802.3af	toh:adi_engineering:adi_engineering_pronghorn_sbc250	View/Edit data	https://forum.openwrt.org/viewtopic.php?id=12830	NULL	Pronghorn SBC250	Pronghorn SBC250	https://wikidevi.wi-cat.ru/ADI_Engineering_Pronghorn_SBC250			http://downloads.openwrt.org/releases/18.06.9/targets/ixp4xx/generic/openwrt-18.06.9-ixp4xx-generic-pronghorn-zImage	NULL	http://downloads.openwrt.org/snapshots/targets/ixp4xx/generic/openwrt-ixp4xx-generic-pronghorn-zImage	NULL	see devicepage	For installation you also need ixp4xx-generic-squashfs.img	RedBoot TFTP + serial recovery		media:example:genericrouter1.png	sysupgrade not supported, re-install necessary
16168	NAS	Agestar	NSB3AS	NULL	NULL	Discontinued			14.07	14.07	NULL	cns21xx	generic		U-Boot	Star STR8132	1	150	8	32	1	-	¿	¿	-		-	-	-		NULL	-	¿	Yes	-		-	-	-		Yes	38400 / 8N1	¿	¿	¿	¿	¿	toh:agestar:nsb3as	View/Edit data	https://forum.openwrt.org/viewtopic.php?id=31242	NULL	NSB3AS	NSB3AS	NULL			http://downloads.openwrt.org/barrier_breaker/14.07/cns21xx/generic/openwrt-cns21xx-nsb3ast-squashfs.img	NULL	NULL	NULL	unknown		unknown		media:example:genericrouter1.png	
16169	WiFi Router	Airlink101	AR430W	NULL	https://fcc.io/RRK/-AR430W	Discontinued			10.03.1	12.09	NULL	ath25			RedBoot	Atheros AR2318	1	183	4	16	5	-	IC+ IP175E	Yes	-		Atheros AR2318	b/g	-		ath5k	1	-	-	-		-	-	-		Yes	¿	Yes	8	2	-	5 VDC, 2.5 A	toh:d-link:dir-300	View/Edit data	https://forum.openwrt.org/viewtopic.php?id=15491	NULL	AR430W	AR430W	https://wikidevi.wi-cat.ru/Airlink101_AR430W	http://airlink101.com/products/ar430w.php	http://www.airlink101.com/drivers/ar430wv1028949.zip	http://downloads.openwrt.org/backfire/10.03.1/atheros/openwrt-atheros-vmlinux.lzma	NULL	NULL	NULL	see devicepage		NULL		media:example:genericrouter1.png	No update process available so save config and re-install to update
